BDS_Location,Map,Cafeland_Suggestion,Score,BDS_ID,Sys_Ward_ID
"Xã Ngọk Linh, Đăk Glei, Kon Tum",->,"Ngọc Linh, Đắk Glei",0.89,927,5531
"Xã Ngọk Wang, Đăk Hà, Kon Tum",->,"Ngọc Wang, Đắk Hà",0.89,945,5540
"Xã Ya Ly, Sa Thầy, Kon Tum",->,"Yaly, Sa Thầy",0.89,1082,5595
"Phường Quyết Thắng, KonTum, Kon Tum",->,"Quyết Thắng, TP. Kon Tum",1.00,1098,5573
"Phường Thắng Lợi, KonTum, Kon Tum",->,"Thắng Lợi, TP. Kon Tum",1.00,1099,5574
"Phường  Quang Trung, KonTum, Kon Tum",->,"Quang Trung, TP. Kon Tum",1.00,1100,5572
"Phường Thống Nhất, KonTum, Kon Tum",->,"Thống Nhất, TP. Kon Tum",1.00,1101,5575
"Phường Nguyễn Trãi, KonTum, Kon Tum",->,"Nguyễn Trãi, TP. Kon Tum",1.00,1102,5571
"Phường Trần Hưng Đạo, KonTum, Kon Tum",->,"Trần Hưng Đạo, TP. Kon Tum",1.00,1103,5576
"Phường Ngô Mây, KonTum, Kon Tum",->,"Ngô Mây, TP. Kon Tum",1.00,1104,5569
"Phường Trường Chinh, KonTum, Kon Tum",->,"Trường Chinh, TP. Kon Tum",1.00,1105,5577
"Phường Lê Lợi, KonTum, Kon Tum",->,"Lê Lợi, TP. Kon Tum",1.00,1106,5568
"Phường Duy Tân, KonTum, Kon Tum",->,"Duy Tân, TP. Kon Tum",1.00,1107,5564
"Xã Hoà Bình, KonTum, Kon Tum",->,"Hòa Bình, TP. Kon Tum",1.00,1108,5566
"Xã  Ia Chim, KonTum, Kon Tum",->,"Gia Chim, TP. Kon Tum",0.93,1109,5565
"Xã Đoàn Kết, KonTum, Kon Tum",->,"Đoàn Kết, TP. Kon Tum",1.00,1110,5563
"Xã Vinh Quang, KonTum, Kon Tum",->,"Vinh Quang, TP. Kon Tum",1.00,1111,5578
"Xã Kroong, KonTum, Kon Tum",->,"Kroong, TP. Kon Tum",1.00,1113,5567
"Xã Đăk Cấm, KonTum, Kon Tum",->,"Đăk Cấm, TP. Kon Tum",1.00,1114,5560
"Xã Đăk Blà, KonTum, Kon Tum",->,"Đăk Blà, TP. Kon Tum",1.00,1115,5559
"Xã Chư Hreng, KonTum, Kon Tum",->,"Chư Hreng, TP. Kon Tum",1.00,1116,5558
"Xã Đăk Năng, KonTum, Kon Tum",->,"Đăk Năng, TP. Kon Tum",1.00,1117,5561
"Xã Trường Thành,  Thới Lai, Cần Thơ",->,"Trung Thạnh, Thới Lai",0.96,1189,20474
"Xã Đông Thuận,  Thới Lai, Cần Thơ",->,"Đông Thắng, Thới Lai",0.90,1197,20467
"Xã Thạnh Lộc, Giồng Riềng, Kiên Giang",->,"Thạnh Lộc, Gồng Giềng",1.00,1268,5438
"Xã Thạnh Hưng, Giồng Riềng, Kiên Giang",->,"Thạnh Hưng, Gồng Giềng",1.00,1269,5437
"Xã Thạnh Hoà, Giồng Riềng, Kiên Giang",->,"Thạnh Hoà, Gồng Giềng",1.00,1271,5436
"Xã Thạnh Bình, Giồng Riềng, Kiên Giang",->,"Thạnh Bình, Gồng Giềng",1.00,1272,20594
"Xã Thạnh Phước, Giồng Riềng, Kiên Giang",->,"Thạnh Phước, Gồng Giềng",1.00,1274,5439
"Xã Ngọc Thuận, Giồng Riềng, Kiên Giang",->,"Ngọc Thuận, Gồng Giềng",1.00,1275,5435
"Xã Ngọc Chúc, Giồng Riềng, Kiên Giang",->,"Ngọc Chúc, Gồng Giềng",1.00,1276,5432
"Xã Ngọc Thành, Giồng Riềng, Kiên Giang",->,"Ngọc Thành, Gồng Giềng",1.00,1277,5434
"Xã Ngọc Hoà, Giồng Riềng, Kiên Giang",->,"Ngọc Hoà, Gồng Giềng",1.00,1278,5433
"Xã Hoà Lợi, Giồng Riềng, Kiên Giang",->,"Hoà Lợi, Gồng Giềng",1.00,1279,5429
"Xã Hoà Hưng, Giồng Riềng, Kiên Giang",->,"Hoà Hưng, Gồng Giềng",1.00,1280,5428
"Xã Hoà An, Giồng Riềng, Kiên Giang",->,"Hoà An, Gồng Giềng",1.00,1281,5427
"Xã Hoà Thuận, Giồng Riềng, Kiên Giang",->,"Hoà Thuận, Gồng Giềng",1.00,1282,5430
"Xã Vĩnh Thạnh, Giồng Riềng, Kiên Giang",->,"Vĩnh Thạnh, Gồng Giềng",1.00,1283,5441
"Xã Vĩnh Phú, Giồng Riềng, Kiên Giang",->,"Vĩnh Phú, Gồng Giềng",1.00,1284,5440
"Xã Bàn Thạch, Giồng Riềng, Kiên Giang",->,"Bàn Thạch, Gồng Giềng",1.00,1285,5426
"Xã Long Thạnh, Giồng Riềng, Kiên Giang",->,"Long Thạnh, Gồng Giềng",1.00,1286,5431
"Xã Bàn Tân Định, Giồng Riềng, Kiên Giang",->,"Bàn Tân Định, Gồng Giềng",1.00,1287,5425
"Xã Mường Nọc, Quế Phong, Nghệ An",->,"Mường Noọc, Quế Phong",0.95,1725,6805
"Xã Thạnh Phú Đông, Giồng Trôm, Bến Tre",->,"Thạch Phú Đông, Giồng Trôm",0.93,2054,2973
"Xã Thạnh Phong, Thạnh Phú, Bến Tre",->,"Thuận Phong, Thạnh Phú",0.91,2135,2991
"Xã Thạnh Trị, Kiến Tường, Long An",->,"Thạnh Trị, Liên Hưng",1.00,2321,6236
"Xã Bình Hiệp, Kiến Tường, Long An",->,"Bình Hiệp, Liên Hưng",1.00,2324,6226
"Xã Tuyên Thạnh, Kiến Tường, Long An",->,"Tuyên Thạnh, Liên Hưng",1.00,2333,6237
"Xã Bình Tân, Kiến Tường, Long An",->,"Bình Tân, Liên Hưng",1.00,2343,6231
"Xã Thạnh Hưng, Kiến Tường, Long An",->,"Thạnh Hưng, Liên Hưng",1.00,2345,6235
"Xã Trung Lèng Hồ, Bát Xát, Lào Cai",->,"Trung Lènh Hồ, Bát Xát",0.92,2604,5689
"Xã An Thạnh Trung, Chợ Mới, An Giang",->,"An Thạch Trung, Chợ Mới",0.93,2699,1381
"Xã Thào Chư Phìn, Si Ma Cai, Lào Cai",->,"Thào Chư Phìn, Xi Ma Cai",1.00,2786,5772
"Xã Bản Mế, Si Ma Cai, Lào Cai",->,"Bản Mế, Xi Ma Cai",1.00,2789,5761
"Xã Sán Chải, Si Ma Cai, Lào Cai",->,"Sán Chải, Xi Ma Cai",1.00,2793,5770
"Xã Lùng Sui, Si Ma Cai, Lào Cai",->,"Lùng Sui, Xi Ma Cai",1.00,2796,5765
"Xã Cán Hồ, Si Ma Cai, Lào Cai",->,"Cán Hồ, Xi Ma Cai",1.00,2802,5763
"Xã Sín Chéng, Si Ma Cai, Lào Cai",->,"Sín Chéng, Xi Ma Cai",1.00,2803,5771
"Xã Lử Thẩn, Si Ma Cai, Lào Cai",->,"Lử Thẩn, Xi Ma Cai",1.00,2804,5764
"Xã Cán Cấu, Si Ma Cai, Lào Cai",->,"Cán Cấu, Xi Ma Cai",1.00,2806,5762
"Xã Nàn Sán, Si Ma Cai, Lào Cai",->,"Nàn Sán, Xi Ma Cai",1.00,2808,5767
"Xã Quảng Thắng, Hải Hà, Quảng Ninh",->,"Quảng Thành, Hải Hà",0.91,2998,21241
"Xã Giao Hưng, Giao Thủy, Nam Định",->,"Giao Hương, Giao Thủy",0.95,3178,6329
"Xã Ma Ly Pho, Phong Thổ, Lai Châu",->,"Ma Li Pho, Phong Thổ",0.89,4239,21341
"Xã Sin Súi Hồ, Phong Thổ, Lai Châu",->,"Sin Suối Hồ, Phong Thổ",0.95,4244,21349
"Xã Liêng S’Rônh, Đam Rông, Lâm Đồng",->,"Liêng S'Rônh, Đam Rông",0.92,4580,20548
"Xã Đạ K’Nàng, Đam Rông, Lâm Đồng",->,"Đạ K'Nàng, Đam Rông",0.89,4583,20543
"Xã Đưng KNớ, Lạc Dương, Lâm Đồng",->,"Đưng K´Nớh, Lạc Dương",0.89,4619,5898
"Xã Eachà Rang, Sơn Hòa, Phú Yên",->,"Ea Chà Rang, Sơn Hòa",0.95,4731,7595
"Thị trấn TT. Chi Lăng, Chi Lăng, Lạng Sơn",->,"TT. Chi Lăng, Cao Lăng",1.00,5211,21150
"Xã Bắc Thủy, Chi Lăng, Lạng Sơn",->,"Bắc Thủy, Cao Lăng",1.00,5213,21151
"Xã Bằng Hữu, Chi Lăng, Lạng Sơn",->,"Bằng Hữu, Cao Lăng",1.00,5214,21152
"Xã Bằng Mạc, Chi Lăng, Lạng Sơn",->,"Bằng Mạc, Cao Lăng",1.00,5215,21153
"Xã Chiến Thắng, Chi Lăng, Lạng Sơn",->,"Chiến Thắng, Cao Lăng",1.00,5216,21155
"Xã Gia Lộc, Chi Lăng, Lạng Sơn",->,"Gia Lộc, Cao Lăng",1.00,5217,21156
"Xã Hòa Bình, Chi Lăng, Lạng Sơn",->,"Hòa Bình, Cao Lăng",1.00,5218,21157
"Xã Hữu Kiên, Chi Lăng, Lạng Sơn",->,"Hữu Kiên, Cao Lăng",1.00,5219,21158
"Xã Lâm Sơn, Chi Lăng, Lạng Sơn",->,"Lâm Sơn, Cao Lăng",1.00,5220,21159
"Xã Liên Sơn, Chi Lăng, Lạng Sơn",->,"Liên Sơn, Cao Lăng",1.00,5221,21160
"Xã Mai Sao, Chi Lăng, Lạng Sơn",->,"Mai Sao, Cao Lăng",1.00,5222,21161
"Xã Nhân Lý, Chi Lăng, Lạng Sơn",->,"Nhân Lý, Cao Lăng",1.00,5223,21162
"Xã Thượng Cường, Chi Lăng, Lạng Sơn",->,"Thượng Cường, Cao Lăng",1.00,5226,21165
"Xã Vạn Linh, Chi Lăng, Lạng Sơn",->,"Vạn Linh, Cao Lăng",1.00,5227,21167
"Xã Vân An, Chi Lăng, Lạng Sơn",->,"Vân An, Cao Lăng",1.00,5228,21166
"Xã Vân Thủy, Chi Lăng, Lạng Sơn",->,"Vân Thủy, Cao Lăng",1.00,5229,21168
"Xã Y Tịch, Chi Lăng, Lạng Sơn",->,"Y Tịch, Cao Lăng",1.00,5230,21169
"Xã Hoàn Trạch, Bố Trạch, Quảng Bình",->,"Hòa Trạch, Bố Trạch",0.95,5249,7735
"Xã Quảng Phong, Quảng Trạch, Quảng Bình",->,"Quảng Phương, Quảng Trạch",0.96,5375,20926
"Xã Quảng Tân, Quảng Trạch, Quảng Bình",->,"Quảng Thanh, Quảng Trạch",0.90,5377,7826
"Xã Quảng Hoà, Quảng Trạch, Quảng Bình",->,"Quảng Hợp, Quảng Trạch",0.89,5387,7815
"Xã Quảng Thọ, Quảng Trạch, Quảng Bình",->,"Quảng Hợp, Quảng Trạch",0.89,5407,7815
"Xã Quảng Long, Quảng Trạch, Quảng Bình",->,"Quảng Đông, Quảng Trạch",0.90,5409,7812
"Xã Cán Chu Phìn, Mèo Vạc, Hà Giang",->,"Cán Chu Phìn, Mèo Vạt",1.00,5834,3797
"Xã Giàng Chu Phìn, Mèo Vạc, Hà Giang",->,"Giàng Chu Phìn, Mèo Vạt",1.00,5835,3798
"Xã Khâu Vai, Mèo Vạc, Hà Giang",->,"Khâu Vai, Mèo Vạt",1.00,5836,3799
"Xã Lũng Chinh, Mèo Vạc, Hà Giang",->,"Lũng Chinh, Mèo Vạt",1.00,5839,3800
"Xã Lũng Pù, Mèo Vạc, Hà Giang",->,"Lũng Pù, Mèo Vạt",1.00,5843,3801
"Xã Nậm Ban, Mèo Vạc, Hà Giang",->,"Nậm Ban, Mèo Vạt",1.00,5847,3802
"Xã Niêm Sơn, Mèo Vạc, Hà Giang",->,"Niêm Sơn, Mèo Vạt",1.00,5851,3803
"Xã Pả Vi, Mèo Vạc, Hà Giang",->,"Pả Vi, Mèo Vạt",1.00,5854,3805
"Xã Pải Lủng, Mèo Vạc, Hà Giang",->,"Pải Lủng, Mèo Vạt",1.00,5855,3806
"Xã Sơn Vĩ, Mèo Vạc, Hà Giang",->,"Sơn Vĩ, Mèo Vạt",1.00,5856,3807
"Xã Sủng Máng, Mèo Vạc, Hà Giang",->,"Sủng Máng, Mèo Vạt",1.00,5857,3808
"Xã Sủng Trà, Mèo Vạc, Hà Giang",->,"Sủng Trà, Mèo Vạt",1.00,5858,3809
"Xã Tả Lủng, Mèo Vạc, Hà Giang",->,"Tả Lủng, Mèo Vạt",1.00,5859,3810
"Xã Tát Ngà, Mèo Vạc, Hà Giang",->,"Tát Ngà, Mèo Vạt",1.00,5860,3811
"Xã Thượng Phùng, Mèo Vạc, Hà Giang",->,"Thượng Phùng, Mèo Vạt",1.00,5861,3812
"Xã Xín Cái, Mèo Vạc, Hà Giang",->,"Xín Cái, Mèo Vạt",1.00,5862,3813
"Xã Niêm Tòng, Mèo Vạc, Hà Giang",->,"Niêm Tòng, Mèo Vạt",1.00,5863,3804
"Xã BokTơi, Hoài Ân, Bình Định",->,"Bok Tới, Hoài Ân",0.92,6290,2177
"Xã Bình Thuận, Tây Sơn, Bình Định",->,"Bình Thành, Tây Sơn",0.90,6328,2258
"Xã Đa Krông, Đa Krông, Quảng Trị",->,"Đakrông, Đa Krông",0.93,6376,21426
"Xã Phong Thạnh Tây A, Phước Long, Bạc Liêu",->,"Phong Thạch Tây A, Phước Long",0.94,7146,2340
"Xã Phong Thạnh Tây B, Phước Long, Bạc Liêu",->,"Phong Thạch Tây B, Phước Long",0.94,7147,2341
"Xã Gia Tân 1, Thống Nhất, Đồng Nai",->,"Gia Tân I, Thống Nhất",0.89,7327,1201
"Xã Gia Tân 2, Thống Nhất, Đồng Nai",->,"Gia Tân I, Thống Nhất",0.89,7328,1201
"Xã Gia Tân 3, Thống Nhất, Đồng Nai",->,"Gia Tân I, Thống Nhất",0.89,7329,1201
"Xã Đăk Drô, Krông Nô, Đắk Nông",->,"Đăk Rô, Krông Nô",0.92,7568,10951
"Xã Đắk R’Moan, Gia Nghĩa, Đắk Nông",->,"Đắk R'Moan, Thị xã Gia Nghĩa",0.90,7616,10841
"Xã Long Hải, Đảo Phú Quý, Bình Thuận",->,"Long Hải, Phú Quí",1.00,7617,2094
"Xã Ngũ Phụng, Đảo Phú Quý, Bình Thuận",->,"Ngũ Phụng, Phú Quí",1.00,7618,2095
"Xã Tam Thanh, Đảo Phú Quý, Bình Thuận",->,"Tam Thanh, Phú Quí",1.00,7620,2096
"Xã Ia Băng, ChưPRông, Gia Lai",->,"Ia Băng, Chư Prông",1.00,7760,3390
"Xã Ia Boòng, ChưPRông, Gia Lai",->,"Ia Boòng, Chư Prông",1.00,7761,3391
"Xã Ia Lâu, ChưPRông, Gia Lai",->,"Ia Lâu, Chư Prông",1.00,7762,3392
"Xã Ia Me, ChưPRông, Gia Lai",->,"Ia Me, Chư Prông",1.00,7763,3393
"Xã Ia Mơ, ChưPRông, Gia Lai",->,"Ia Mơ, Chư Prông",1.00,7764,3394
"Xã Ia O, ChưPRông, Gia Lai",->,"Ia O, Chư Prông",1.00,7765,3395
"Xã Ia Pia, ChưPRông, Gia Lai",->,"Ia Pia, Chư Prông",1.00,7766,3397
"Xã Ia Púch, ChưPRông, Gia Lai",->,"Ia Púch, Chư Prông",1.00,7767,3398
"Xã Ia Phìn, ChưPRông, Gia Lai",->,"Ia Phìn, Chư Prông",1.00,7768,3396
"Xã Ia Tôr, ChưPRông, Gia Lai",->,"Ia Tôr, Chư Prông",1.00,7769,3399
"Xã Ia Vê, ChưPRông, Gia Lai",->,"Ia Vê, Chư Prông",1.00,7771,3400
