province_id	province_name	ward_id	ward_name	data_full_uploaded	data_no_full_uploaded	total_uploaded
1	TP. Hà Nội	903	An Khánh	10	110	120
1	TP. Hà Nội	759	Ba Đình	148	306	454
1	TP. Hà Nội	807	Ba Vì	1	2	3
1	TP. Hà Nội	709	Bạch Mai	266	697	963
1	TP. Hà Nội	829	Bất Bạt	3	4	7
1	TP. Hà Nội	20363	Bát Tràng	155	315	470
1	TP. Hà Nội	1027	Bình Minh	6	42	48
1	TP. Hà Nội	647	Bồ Đề	235	485	720
1	TP. Hà Nội	680	Cầu Giấy	325	624	949
1	TP. Hà Nội	1047	Chương Dương	1	8	9
1	TP. Hà Nội	838	Chương Mỹ	4	75	79
1	TP. Hà Nội	20374	Chuyên Mỹ	0	2	2
1	TP. Hà Nội	812	Cổ Đô	0	0	0
1	TP. Hà Nội	769	Cửa Nam	51	64	115
1	TP. Hà Nội	1031	Dân Hòa	0	3	3
1	TP. Hà Nội	905	Dương Hòa	0	4	4
1	TP. Hà Nội	888	Dương Nội	84	289	373
1	TP. Hà Nội	20401	Đa Phúc	0	0	0
1	TP. Hà Nội	514	Đại Mỗ	111	301	412
1	TP. Hà Nội	554	Đại Thanh	33	172	205
1	TP. Hà Nội	20037	Đại Xuyên	0	1	1
1	TP. Hà Nội	870	Đan Phượng	1	6	7
1	TP. Hà Nội	665	Định Công	343	764	1107
1	TP. Hà Nội	990	Đoài Phương	8	37	45
1	TP. Hà Nội	624	Đông Anh	13	94	107
1	TP. Hà Nội	742	Đống Đa	269	399	668
1	TP. Hà Nội	515	Đông Ngạc	43	328	371
1	TP. Hà Nội	20357	Gia Lâm	15	15	30
1	TP. Hà Nội	752	Giảng Võ	86	108	194
1	TP. Hà Nội	1012	Hạ Bằng	26	62	88
1	TP. Hà Nội	897	Hà Đông	216	381	597
1	TP. Hà Nội	714	Hai Bà Trưng	39	79	118
1	TP. Hà Nội	946	Hát Môn	0	0	0
1	TP. Hà Nội	1022	Hòa Lạc	3	13	16
1	TP. Hà Nội	839	Hòa Phú	0	1	1
1	TP. Hà Nội	1084	Hòa Xá	0	0	0
1	TP. Hà Nội	919	Hoài Đức	20	110	130
1	TP. Hà Nội	768	Hoàn Kiếm	41	37	78
1	TP. Hà Nội	557	Hoàng Liệt	61	93	154
1	TP. Hà Nội	670	Hoàng Mai	110	538	648
1	TP. Hà Nội	763	Hồng Hà	163	321	484
1	TP. Hà Nội	931	Hồng Sơn	1	4	5
1	TP. Hà Nội	1053	Hồng Vân	0	9	9
1	TP. Hà Nội	969	Hưng Đạo	0	1	1
1	TP. Hà Nội	935	Hương Sơn	0	3	3
1	TP. Hà Nội	697	Khương Đình	192	474	666
1	TP. Hà Nội	890	Kiến Hưng	4	111	115
1	TP. Hà Nội	968	Kiều Phú	0	1	1
1	TP. Hà Nội	580	Kim Anh	1	41	42
1	TP. Hà Nội	731	Kim Liên	54	149	203
1	TP. Hà Nội	733	Láng	29	67	96
1	TP. Hà Nội	878	Liên Minh	1	3	4
1	TP. Hà Nội	674	Lĩnh Nam	2	31	33
1	TP. Hà Nội	658	Long Biên	15	53	68
1	TP. Hà Nội	788	Mê Linh	0	18	18
1	TP. Hà Nội	816	Minh Châu	0	0	0
1	TP. Hà Nội	928	Mỹ Đức	0	6	6
1	TP. Hà Nội	559	Nam Phù	5	42	47
1	TP. Hà Nội	683	Nghĩa Đô	117	197	314
1	TP. Hà Nội	762	Ngọc Hà	58	89	147
1	TP. Hà Nội	545	Ngọc Hồi	1	29	30
1	TP. Hà Nội	575	Nội Bài	1	25	26
1	TP. Hà Nội	727	Ô Chợ Dừa	74	138	212
1	TP. Hà Nội	872	Ô Diên	4	7	11
1	TP. Hà Nội	979	Phú Cát	11	53	64
1	TP. Hà Nội	521	Phú Diễn	80	279	359
1	TP. Hà Nội	20354	Phù Đổng	3	21	24
1	TP. Hà Nội	895	Phú Lương	7	0	7
1	TP. Hà Nội	855	Phú Nghĩa	0	7	7
1	TP. Hà Nội	527	Phú Thượng	2	8	10
1	TP. Hà Nội	20370	Phú Xuyên	0	3	3
1	TP. Hà Nội	20397	Phúc Lộc	0	1	1
1	TP. Hà Nội	657	Phúc Lợi	81	164	245
1	TP. Hà Nội	939	Phúc Sơn	0	5	5
1	TP. Hà Nội	623	Phúc Thịnh	4	65	69
1	TP. Hà Nội	20396	Phúc Thọ	2	2	4
1	TP. Hà Nội	20387	Phượng Dực	0	2	2
1	TP. Hà Nội	698	Phương Liệt	32	54	86
1	TP. Hà Nội	857	Quảng Bị	0	2	2
1	TP. Hà Nội	793	Quang Minh	2	25	27
1	TP. Hà Nội	809	Quảng Oai	0	2	2
1	TP. Hà Nội	20399	Quốc Oai	1	6	7
1	TP. Hà Nội	20400	Sóc Sơn	0	15	15
1	TP. Hà Nội	916	Sơn Đồng	3	40	43
1	TP. Hà Nội	992	Sơn Tây	1	5	6
1	TP. Hà Nội	806	Suối Hai	0	4	4
1	TP. Hà Nội	1039	Tam Hưng	0	2	2
1	TP. Hà Nội	688	Tây Hồ	69	223	292
1	TP. Hà Nội	524	Tây Mỗ	7	180	187
1	TP. Hà Nội	1018	Tây Phương	0	4	4
1	TP. Hà Nội	516	Tây Tựu	4	23	27
1	TP. Hà Nội	20402	Thạch Thất	0	5	5
1	TP. Hà Nội	704	Thanh Liệt	9	34	43
1	TP. Hà Nội	1045	Thanh Oai	0	7	7
1	TP. Hà Nội	21540	Thanh Trì	0	0	0
1	TP. Hà Nội	703	Thanh Xuân	61	200	261
1	TP. Hà Nội	644	Thiên Lộc	0	27	27
1	TP. Hà Nội	637	Thư Lâm	0	9	9
1	TP. Hà Nội	20359	Thuận An	11	2	13
1	TP. Hà Nội	787	Thượng Cát	0	0	0
1	TP. Hà Nội	1063	Thượng Phúc	1	3	4
1	TP. Hà Nội	20403	Thường Tín	0	5	5
1	TP. Hà Nội	799	Tiến Thắng	1	2	3
1	TP. Hà Nội	865	Trần Phú	4	13	17
1	TP. Hà Nội	585	Trung Giã	3	15	18
1	TP. Hà Nội	512	Từ Liêm	11	331	342
1	TP. Hà Nội	1001	Tùng Thiện	1	10	11
1	TP. Hà Nội	672	Tương Mai	4	46	50
1	TP. Hà Nội	1076	Ứng Hòa	0	2	2
1	TP. Hà Nội	1089	Ứng Thiên	0	0	0
1	TP. Hà Nội	1097	Vân Đình	0	3	3
1	TP. Hà Nội	729	Văn Miếu - Quốc Tử Giám	50	107	157
1	TP. Hà Nội	835	Vật Lại	0	1	1
1	TP. Hà Nội	21541	Việt Hưng	0	0	0
1	TP. Hà Nội	21526	Vĩnh Hưng	0	0	0
1	TP. Hà Nội	629	Vĩnh Thanh	1	37	38
1	TP. Hà Nội	726	Vĩnh Tuy	29	144	173
1	TP. Hà Nội	20029	Xuân Đỉnh	2	12	14
1	TP. Hà Nội	869	Xuân Mai	3	22	25
1	TP. Hà Nội	532	Xuân Phương	6	102	108
1	TP. Hà Nội	836	Yên Bài	0	6	6
1	TP. Hà Nội	686	Yên Hòa	110	0	110
1	TP. Hà Nội	783	Yên Lãng	0	1	1
1	TP. Hà Nội	893	Yên Nghĩa	33	14	47
1	TP. Hà Nội	21504	Yên Sở	0	0	0
1	TP. Hà Nội	972	Yên Xuân	2	8	10
4	Vĩnh Long	2865	An Bình	10	6	16
4	Vĩnh Long	10942	An Định	2	0	2
4	Vĩnh Long	2867	An Hiệp	0	1	1
4	Vĩnh Long	2969	An Hội	49	16	65
4	Vĩnh Long	2870	An Ngãi Trung	1	0	1
4	Vĩnh Long	10431	An Phú Tân	2	0	2
4	Vĩnh Long	2977	An Qui	2	1	3
4	Vĩnh Long	10417	An Trường	0	1	1
4	Vĩnh Long	20673	Ba Tri	0	1	1
4	Vĩnh Long	2873	Bảo Thạnh	1	0	1
4	Vĩnh Long	10937	Bến Tre	55	22	77
4	Vĩnh Long	20675	Bình Đại	2	3	5
4	Vĩnh Long	1781	Bình Minh	24	11	35
4	Vĩnh Long	10419	Bình Phú	1	4	5
4	Vĩnh Long	1797	Bình Phước	13	3	16
4	Vĩnh Long	1816	Cái Ngang	20	2	22
4	Vĩnh Long	1798	Cái Nhum	12	11	23
4	Vĩnh Long	1780	Cái Vồn	358	16	374
4	Vĩnh Long	10420	Càng Long	2	1	3
4	Vĩnh Long	20712	Cầu Kè	2	2	4
4	Vĩnh Long	20713	Cầu Ngang	2	0	2
4	Vĩnh Long	2957	Châu Hòa	0	4	4
4	Vĩnh Long	2905	Châu Hưng	5	5	10
4	Vĩnh Long	10454	Châu Thành	0	7	7
4	Vĩnh Long	20677	Chợ Lách	1	8	9
4	Vĩnh Long	20709	Duyên Hải	3	3	6
4	Vĩnh Long	10486	Đại An	0	1	1
4	Vĩnh Long	2981	Đại Điền	9	0	9
4	Vĩnh Long	10488	Đôn Châu	0	2	2
4	Vĩnh Long	10467	Đông Hải	0	1	1
4	Vĩnh Long	10953	Đồng Khởi	1	2	3
4	Vĩnh Long	1779	Đông Thành	31	27	58
4	Vĩnh Long	2927	Giao Long	21	14	35
4	Vĩnh Long	20679	Giồng Trôm	1	1	2
4	Vĩnh Long	10490	Hàm Giang	0	0	0
4	Vĩnh Long	20714	Hiệp Mỹ	1	0	1
4	Vĩnh Long	1851	Hiếu Phụng	3	1	4
4	Vĩnh Long	1852	Hiếu Thành	6	1	7
4	Vĩnh Long	1825	Hòa Bình	10	1	11
4	Vĩnh Long	1811	Hòa Hiệp	16	6	22
4	Vĩnh Long	10456	Hòa Minh	1	0	1
4	Vĩnh Long	10457	Hoà Thuận	4	4	8
4	Vĩnh Long	10478	Hùng Hoà	1	2	3
4	Vĩnh Long	2944	Hưng Khánh Trung	0	3	3
4	Vĩnh Long	10458	Hưng Mỹ	2	1	3
4	Vĩnh Long	2960	Hưng Nhượng	1	1	2
4	Vĩnh Long	10955	Hương Mỹ	4	1	5
4	Vĩnh Long	2908	Lộc Thuận	0	3	3
4	Vĩnh Long	1841	Long Châu	162	50	212
4	Vĩnh Long	20698	Long Đức	25	6	31
4	Vĩnh Long	10491	Long Hiệp	1	0	1
4	Vĩnh Long	1789	Long Hồ	52	23	75
4	Vĩnh Long	10459	Long Hòa	0	0	0
4	Vĩnh Long	10469	Long Hữu	0	0	0
4	Vĩnh Long	10470	Long Thành	0	0	0
4	Vĩnh Long	10472	Long Vĩnh	0	0	0
4	Vĩnh Long	1827	Lục Sĩ Thành	1	1	2
4	Vĩnh Long	2962	Lương Hòa	1	1	2
4	Vĩnh Long	2963	Lương Phú	2	0	2
4	Vĩnh Long	10492	Lưu Nghiệp Anh	0	0	0
4	Vĩnh Long	20682	Mỏ Cày	3	9	12
4	Vĩnh Long	2876	Mỹ Chánh Hòa	0	0	0
4	Vĩnh Long	10446	Mỹ Long	0	0	0
4	Vĩnh Long	10891	Mỹ Thuận	8	5	13
4	Vĩnh Long	1814	Ngãi Tứ	15	5	20
4	Vĩnh Long	10473	Ngũ Lạc	0	0	0
4	Vĩnh Long	10462	Nguyệt Hoá	11	20	31
4	Vĩnh Long	10426	Nhị Long	0	1	1
4	Vĩnh Long	10449	Nhị Trường	1	0	1
4	Vĩnh Long	1805	Nhơn Phú	13	1	14
4	Vĩnh Long	10928	Nhuận Phú Tân	1	5	6
4	Vĩnh Long	10437	Phong Thạnh	1	2	3
4	Vĩnh Long	2892	Phú Khương	86	42	128
4	Vĩnh Long	2946	Phú Phụng	2	3	5
4	Vĩnh Long	1791	Phú Quới	81	15	96
4	Vĩnh Long	2894	Phú Tân	80	53	133
4	Vĩnh Long	2912	Phú Thuận	1	5	6
4	Vĩnh Long	20716	Phú Túc	16	4	20
4	Vĩnh Long	1792	Phước Hậu	164	54	218
4	Vĩnh Long	2968	Phước Long	3	5	8
4	Vĩnh Long	10930	Phước Mỹ Trung	8	4	12
4	Vĩnh Long	1854	Quới An	4	0	4
4	Vĩnh Long	2987	Quới Điền	3	0	3
4	Vĩnh Long	1855	Quới Thiện	0	0	0
4	Vĩnh Long	2895	Sơn Đông	30	17	47
4	Vĩnh Long	10464	Song Lộc	6	2	8
4	Vĩnh Long	1821	Song Phú	31	5	36
4	Vĩnh Long	20727	Tam Bình	5	1	6
4	Vĩnh Long	10438	Tam Ngãi	1	0	1
4	Vĩnh Long	10429	Tân An	0	2	2
4	Vĩnh Long	1793	Tân Hạnh	93	31	124
4	Vĩnh Long	2970	Tân Hào	1	0	1
4	Vĩnh Long	10482	Tân Hoà	3	1	4
4	Vĩnh Long	1808	Tân Long Hội	9	2	11
4	Vĩnh Long	10896	Tân Lược	8	4	12
4	Vĩnh Long	1840	Tân Ngãi	119	23	142
4	Vĩnh Long	2937	Tân Phú	7	2	9
4	Vĩnh Long	10897	Tân Quới	13	6	19
4	Vĩnh Long	10933	Tân Thành Bình	4	1	5
4	Vĩnh Long	2884	Tân Thủy	1	0	1
4	Vĩnh Long	2885	Tân Xuân	0	0	0
4	Vĩnh Long	10484	Tập Ngãi	0	0	0
4	Vĩnh Long	10497	Tập Sơn	0	0	0
4	Vĩnh Long	1794	Thanh Đức	111	31	142
4	Vĩnh Long	2989	Thạnh Hải	3	0	3
4	Vĩnh Long	2991	Thạnh Phong	0	0	0
4	Vĩnh Long	20680	Thạnh Phú	9	7	16
4	Vĩnh Long	2915	Thạnh Phước	3	0	3
4	Vĩnh Long	10965	Thành Thới	0	3	3
4	Vĩnh Long	2916	Thạnh Trị	3	2	5
4	Vĩnh Long	2918	Thới Thuận	0	1	1
4	Vĩnh Long	2941	Tiên Thủy	4	5	9
4	Vĩnh Long	20718	Tiểu Cần	3	1	4
4	Vĩnh Long	1835	Trà Côn	11	2	13
4	Vĩnh Long	20722	Trà Cú	1	3	4
4	Vĩnh Long	1834	Trà Ôn	8	0	8
4	Vĩnh Long	20699	Trà Vinh	5	10	15
4	Vĩnh Long	1861	Trung Hiệp	2	1	3
4	Vĩnh Long	1863	Trung Ngãi	7	2	9
4	Vĩnh Long	1865	Trung Thành	13	1	14
4	Vĩnh Long	10474	Trường Long Hoà	4	0	4
4	Vĩnh Long	10453	Vinh Kim	0	1	1
4	Vĩnh Long	2952	Vĩnh Thành	0	5	5
4	Vĩnh Long	1836	Vĩnh Xuân	2	0	2
